"","F_1","F_2","F_4","F_611","F_612","F_613","F_614","F_615","F_616","F_617","labels"
"1465",-0.401,0.0414,0.5392,0.4482,0.6206,0.5862,0,0.4482,-0.069,-0.3448,"E"
"7597",-0.3258,0.0538,0.4788,0.1428,0.3186,-0.011,0.099,0.033,-0.4946,-0.7142,"E"
"3146",-0.2752,0.155,0.5814,0.062,-0.1504,-0.0796,-0.1504,-0.5044,-0.4336,-0.6638,"A"
"625",-0.6128,-0.2202,0.0928,0.2858,0.3968,0.2698,0.508,0.4126,0.1746,-0.0794,"A"
"6817",-0.1692,0.3462,0.5462,0.2898,0.458,0.0094,0.1214,0.215,-0.2336,-0.757,"E"
"3228",-0.4252,-0.023,0.134,0.4352,1,0.8352,0.1058,-0.0118,0.1764,-0.1058,"E"
"2808",-0.4694,-0.1484,0.609,-0.1852,0.1296,-0.037,-0.4074,-0.1112,-0.2778,-0.6666,"A"
"113",-0.7954,-0.142,-0.1394,-0.1966,0.094,0.0598,0.1452,-0.4018,-0.265,-0.453,"E"
"5827",-0.5512,-0.06,-0.258,-0.0976,-0.0244,0.0244,-0.0488,0.0244,-0.4146,-0.5122,"E"
"2964",-0.5582,-0.0736,0.632,0.3178,0.5968,0.4264,0.3178,0.1318,-0.0852,-0.1938,"A"
"729",-0.3024,0.1076,0.5262,0.3764,0.1612,0.1828,0.3118,0.2904,0.3764,0.1612,"A"
"4788",-0.3948,-0.0822,0.2666,0.2148,0.526,0.3038,0.3038,0.3038,0.3038,-0.1112,"E"
"1924",-0.3454,0.0248,0.869,0.1134,0.2578,-0.031,0.0104,-0.2372,0.1546,-0.1134,"A"
"3462",-0.6172,0.1056,0.0046,0.1132,0.283,0.4716,0.4716,0.1698,0.151,-0.283,"E"
"6869",-0.239,0.4454,0.5458,0.4032,0.5,0.371,0.2742,-0.0484,-0.258,-0.6612,"E"
"3202",-0.6236,0.3494,0.4194,0.127,-0.0952,0.1904,0.1746,0.1746,0.3334,-0.1428,"E"
"5381",-0.551,0.0464,0.2356,0.01,0.2278,0.1486,0.5644,0.208,0.2278,0.0892,"A"
"156",-0.284,0.1694,0.4654,-0.0572,0.1286,0.1286,-0.2,0.0572,0,-0.5286,"A"
"5931",-0.2656,-0.0236,-0.0318,0.0486,0.2622,0.1262,-0.0486,-0.0874,-0.068,-0.2038,"E"
"6505",-0.176,0.2418,0.9806,0.4696,0.6212,0.409,0.1666,-0.197,-0.3484,-0.4848,"E"
"2860",-0.4622,-0.0222,0.8222,-0.042,0.0756,0.2606,0.1092,-0.1932,-0.1092,-0.6134,"A"
"572",-0.5552,-0.2636,0.3608,0.4646,0.307,0.4174,0.0866,0.1496,0.0394,-0.1024,"A"
"6706",-0.4958,-0.2296,0.2108,0.0186,-0.2222,0.074,0.1482,-0.2038,-0.2222,-0.574,"A"
"260",-0.3018,-0.005,0.7876,0.0842,0.4206,0.4206,0.3084,0.271,0.0654,-0.4018,"A"
"1404",-0.3494,-0.013,0.4862,0.3024,0.3488,0.1782,-0.1318,-0.1008,-0.1782,-0.4418,"A"
"6758",-0.3764,-0.0054,0.2904,0.1034,0.1264,0.0804,0.0344,0.1954,-0.4712,-0.7932,"A"
"5459",-0.633,-0.4914,0.6214,0.7482,0.6888,1,0.8518,0.526,0.4518,-0.1556,"A"
"4108",-0.5278,-0.1672,0.6914,-0.1852,-0.1482,0.1482,0.2222,0,0.0186,-0.2592,"A"
"5355",-0.5708,-0.1242,0.461,0.6308,0.4154,0.6308,0.7846,0.9692,0.877,0.5076,"A"
"5693",-0.6012,-0.167,0.3176,0.3096,0.2262,0.2858,0.3096,0.2262,0.119,0.012,"A"
"6160",-0.552,-0.04,0.6666,0.593,0.5044,0.239,0.0088,0.1328,-0.0266,-0.646,"A"
"3640",-0.2448,0.2206,0.7966,0,-0.2206,-0.0736,0.0148,-0.1324,-0.1324,-0.2648,"A"
"5411",-0.4136,0.1594,0.444,0.127,-0.0794,-0.0476,0.0318,-0.3492,-0.4286,-0.7302,"E"
"7286",-0.1896,0.9722,0.396,0.1176,0.1764,0.5882,0.353,0,0.196,0.0196,"E"
"4784",-0.4266,-0.1568,0.4806,0.101,0.3028,0.5046,0.156,0.1926,0.156,-0.101,"A"
"1977",-0.5844,-0.0472,0.6284,-0.2424,-0.106,-0.2272,-0.2728,-0.197,-0.1516,-0.8334,"A"
"2089",-0.4368,0.4948,0.2424,0.2526,0.1516,0.1516,0.1516,0.1112,0.0304,-0.5354,"E"
"3069",-0.4356,-0.2548,0.3972,0,-0.04,0.3,0.36,0.04,-0.1,-0.9,"A"
"5282",-0.8378,-0.4956,-0.0658,0.2066,0.1404,0.1736,0.2562,0.0248,-0.2066,-0.7024,"E"
"6974",-0.1542,0.3246,0.3216,-0.0782,0.1478,0.1652,0.5304,0.0434,-0.2,-0.5826,"E"
"5252",-0.496,-0.04,0.344,0.099,0.1352,0.1712,0.4414,0.3874,0.2612,0.045,"A"
"2608",-0.3386,0.5936,0.8088,0.3884,0.3554,-0.0248,0.2066,0.091,-0.3224,-0.5868,"E"
"1301",-0.3904,0.0604,0.4572,-0.2982,-0.2982,-0.1052,-0.193,-0.2106,-0.3158,-0.772,"A"
"5407",-0.4174,-0.0158,0.412,0.3114,0.3278,0.1804,0.1148,0.0656,-0.2132,-0.6558,"A"
"1412",-0.1168,0.6776,0.3084,0,0.0794,0.0318,-0.0476,-0.0634,0.0318,-0.3016,"E"
"4320",-0.528,0.2972,-0.1504,0.3052,0.3894,0.4526,0.4948,0.6842,0.4736,-0.2422,"E"
"3458",-0.6296,0.0536,0.56,1,0.8902,0.8682,0.8462,0.5164,0.5164,-0.033,"A"
"6602",-0.5608,-0.1942,0.3648,-0.068,-0.1456,0.1068,0.165,0.1262,0.068,-0.1456,"A"
"2289",-0.485,-0.1808,0.6686,0.099,0.2792,0.4414,0.1532,0.1352,-0.1712,-0.4954,"A"
"5126",-0.5332,0.1098,0.0572,0.1,0.48,0.44,0.06,0.32,-0.08,-0.78,"E"
"3900",-0.4394,-0.339,0.7866,0.5168,0.8256,0.9464,0.5302,0.6108,0.3422,-0.1678,"A"
"5256",-0.2788,0.3626,0.482,0.1276,0.4256,0.3618,0.1914,0.3618,-0.0426,-0.2978,"E"
"5771",-0.658,-0.3982,0.8572,0.347,0.8572,0.7552,1,0.8368,0.653,0.1836,"A"
"6108",-0.5658,-0.0694,0.672,0.074,0.0186,-0.2038,-0.1852,-0.0556,-0.074,-0.2222,"A"
"417",-0.5474,-0.0058,0.392,0.1226,0.0322,-0.2,-0.2516,-0.1354,-0.3806,-0.6,"A"
"2185",-0.624,-0.193,0.8196,0.3376,0.2078,0.078,-0.039,-0.2468,0.1428,0.026,"A"
"5333",-0.0858,0.5452,0.9258,0,0.1924,0.2116,0.3076,-0.077,-0.0384,-0.4808,"E"
"6913",-0.4424,-0.0568,0.637,0.1372,0.098,0.0392,0.1568,0.2746,0.0196,-0.647,"A"
"6190",-0.44,0.2768,-0.0016,0.553,0.6706,0.553,0.8824,0.9058,0.2942,0.0352,"E"
"6818",-0.149,0.3726,0.5,0.157,0.0414,0.1404,0.0744,0.091,0.1404,-0.0082,"E"
"6343",-0.4754,-0.0492,0.5246,0.3182,0.75,0.6818,0.5,0.341,0.2046,0,"A"
"5100",-0.5144,0.059,0.1974,0.4594,0.5136,0.5496,0.4774,0.2612,0.4774,0.3874,"E"
"1144",-0.5804,-0.252,0.1996,0.3584,0.2264,-0.2076,-0.132,-0.151,-0.0754,-0.6226,"A"
"2445",-0.581,-0.042,0.6194,0.5606,0.5,-0.091,-0.2878,-0.106,0.2272,-0.2424,"A"
"5593",-0.368,0.3838,0.1342,0.2248,0.2868,0.5814,0.0542,0.0852,0.0542,-0.1318,"E"
"1872",-0.3238,-0.0264,0.6594,0.3476,0.2766,0.2766,0.2482,0.078,-0.0212,-0.1914,"A"
"4294",-0.1824,0.1894,0.0054,0.08,0.48,0.6,-0.1,-0.26,-0.06,-0.42,"E"
